age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												EY	1		THEY		513.2	1812	2816.9	139.1	338.6	199.6	114.663	114.65	114.8	0.15																506.4	1915.3	465.2	2021.9	454.4	2033.8	422.5	1834.4	420.3	1711.8	5	520	1937	2861	22.0003	1	they	114.6735
												EH	1		MET		670.5	1568.6	2310.8	135.1	164.5	1881.3	117.481	117.464	117.514	0.05																670.5	1541.5	670.5	1568.6	640	1546.5	603.9	1557.1	563.3	1558.2	6	681	1592	2119	2.1412	1	met	117.4826
												AE	1		THAT		662.5	1704.9	2908.5	91.7	116.2	1140.9	117.667	117.623	117.754	0.131																627.2	1703.4	666.5	1703.5	685	1674.4	655.7	1588.1	629.3	1479.8	5	659	1711	2887	3.1413	1	that	117.6649
												OW	1		KNOW		627	1438.1	2551.3	52	112.2	546.7	121.654	121.614	121.983	0.369																638.4	1305.6	626.8	1199.1	591.8	1126.9	532	1078.7	488.6	953.4	5	631	1261	2746	62.0004	1	know	121.7191
												EY	1		GREAT		552.7	1694.7	2176.6	79.5	142.4	287.7	122.491	122.459	122.579	0.12																549.9	1671.5	539.3	1671.7	481.8	1607.8	444.5	1382.8	406.5	1322.1	6	547	1679	2132	21.1418	1	great	122.4869
												AE	1		GRANDPARENTS		583.4	1773.7	2709.6	101.8	188.9	410	122.772	122.739	122.839	0.1																569.4	1726.5	585.2	1776.8	589.8	1791.9	582	1785.1	580.5	1717.6	5	587	1774	2715	3.44284	1	grandparents	122.7775
												EH	2		GRANDPARENTS		603.6	1775.7	2679.8	160.7	239.9	677.9	123.005	122.939	123.138	0.199																593.6	1805.9	601.9	1768.4	591.6	1751.2	580.5	1710.1	579.5	1681.1	4	611	1767	2389	24.60011	1	(grand)parents	122.9911
												EY	1		STRAIGHT		529.4	2014.4	2546.4	132.4	332.3	502.4	123.743	123.708	123.779	0.071																490.1	1864.8	514.2	1947.9	529.4	2014.4	524.4	2020.8	511.9	2008.8	4	519	1850	2437	21.1418	1	straight	123.7419
												AO	1		OFF		695.5	1365.8	2491.4	44.9	89.9	299.5	123.845	123.809	123.918	0.109																671.7	1430.3	698	1358.2	714.2	1282.1	705.4	1236.6	683.9	1203.5	5	728	1317	2865	53.321	1	off	123.8615
												OW	1		BOAT		580.2	1133.4	2610.9	189.4	156.2	153.2	124.161	124.139	124.299	0.16																597.7	1156.1	598.2	1167.6	588.2	1126.7	569.6	1034.4	540.6	937.3	5	605	1169	2583	62.1411	1	boat	124.1892
												IH	1		ITALY		531.4	1790.6	2698.3	63.3	100.5	200.4	125.225	125.202	125.272	0.07																536.3	1792.1	530.9	1789.4	526.9	1783	521.6	1775.1	513.8	1766	5	530	1783	2692	1.14102	1	Italy	125.2248
												AE	1		GRANDPARENTS		716.8	1825.6	2392.3	176.5	180.4	378	126.614	126.574	126.694	0.12																669.5	1736.6	718.4	1834.2	718.7	1910.3	714.2	1929	700	1906.1	5	724	1929	2557	3.44284	1	grandparents	126.6365
												AA	1		ARE		745.2	1301.8	2666.4	74	124.2	98.2	128.279	128.219	128.399	0.18																729.9	1334.8	747.3	1298.7	756.2	1311.5	780.5	1357.3	775.6	1446	5	750	1283	2644	44.6	1	are	128.2874
												AY	1		LIFE		666	1307.2	2909.7	127.4	89.7	702.5	130.941	130.944	131.044	0.1																638	1577.3	578.7	1717.7	516	1799.6	489.5	1834.2	472.4	1793.1	5	658	1432	2949	47.3217	1	life	130.9513
												EH	1		EVER		579.3	1400.4	2205.4	92.3	66.7	281.8	132.202	132.179	132.249	0.07																568.1	1401.9	579.1	1398.6	569.3	1380.4	551.2	1347.4	523.5	1309.5	6	587	1406	2237	2.32201	1	ever	132.202
												AY	1		HIGHSCHOOL		801.4	1498	2590.8	109.5	162.3	253.1	139.84	139.826	139.937	0.111								s								790.3	1518.8	714.6	1530.8	614.8	1479.9	551.5	1724.1	454	1597.1	6	780	1508	2546	47.34201	1	highschool	139.8516
												AE	1		GRADUATED		579.9	1646.1	2378	51.6	236.4	136.3	142.548	142.528	142.588	0.06																556.5	1587.5	582.4	1652.9	602	1705.1	608.7	1724	599.5	1726.4	5	619	1750	2475	3.25282	1	graduated	142.5709
												AY	1		HIGHSCHOOL		697.4	1591.4	2521.8	86	105.8	204	142.842	142.818	142.868	0.05								m								663.1	1586.1	691.4	1580	697.3	1593	693.7	1598	690.6	1598.9	5	692	1595	2495	47.34201	1	highschool	142.853
												OW	1		ENROLLED		488.1	1158.6	2521.5	324.2	275.6	342.2	143.96	143.942	144.012	0.07																481.4	1176	509.6	1100.6	541.5	1028.4	559.2	980	575.7	931.9	5	574	972	2680	62.5427	1	(en)rolled	143.9997
												AA	1		COLLEGE		752	1485.5	2539.5	67.8	162.4	227	144.295	144.272	144.341	0.069																734	1502.5	753.1	1482.1	764.6	1444.7	784	1416.6	794.7	1406.3	5	797	1392	2885	5.54201	1	college	144.3359
												AE	1		GRADUATE		596.5	1894.7	2734.8	90.4	359.3	541.6	150.591	150.551	150.671	0.12																594.9	1779.5	595.6	1907.9	579	1956.9	566.9	1966.4	524.7	1887.4	4	575	1710	2469	3.25281	1	graduate	150.6051
												AW	1		ACCOUNTING		771.9	1594.4	2347.7	68.6	161.4	453	155.582	155.553	155.693	0.14																769	1598	824.9	1506.4	825.6	1399.1	839.6	1280.1	846	1199.8	5	835	1473	2710	42.44203	1	(ac)counting	155.6065
												AH	1		LOVE		693.9	1206.9	2520.2	87.1	57.5	625.8	158.834	158.811	158.881	0.07																695.9	1193	691.6	1209	667	1218.2	616.2	1234.4	568.6	1251.4	6	690	1201	2564	6.3227	1	love	158.8287
												UW	1		SCHOOL		439.1	911.2	2696.5	89.7	145.6	418.3	164.256	164.233	164.303	0.07																428.4	937.9	441.3	908	452.6	900.3	460.8	898.8	463.9	881.9	5	439	897	2549	72.5426	1	school	164.259
												AY	1		TIME		760.2	1500.4	3167.5	83.8	72.2	301	164.718	164.623	164.883	0.26								s								739.2	1469.5	759.4	1491.7	736.7	1539.7	709.3	1583.1	682.5	1608.6	5	742	1456	3255	41.4123	1	time	164.692
												AY	1		TIME		754.8	1474.2	2756.4	96.3	140.1	395.2	165.786	165.706	165.866	0.16								s								710	1463.5	736.7	1467.6	754.8	1474.2	744.7	1527.2	710.1	1576.2	6	747	1473	2834	41.4123	1	time	165.7874
												EY	1		PAIN		638.2	2001.4	2553.7	216	189.4	265.3	167.988	167.92	168.06	0.14																556	1853.5	587.2	1923.7	636.8	2007.6	591.8	2068.3	567.8	2041.7	5	647	1943	2463	21.4421	1	pain	167.9854
												AW	1		NOW		814.3	1674	3271.3	173.5	207.4	278	171.048	171.038	171.198	0.16																817.9	1594.3	807.6	1480.7	763.2	1342.3	759.7	1130.3	703.4	1610.8	4	808	1555	3083	42.0004	1	now	171.0709
												AO	1		MORNING		592.6	936.7	2100.5	107.3	245.2	554.7	176.49	176.46	176.55	0.09																543	937.2	595.7	939.2	614.5	984.1	622.5	1044.3	625.7	1114.9	6	643	1016	2319	54.6002	1	morning	176.5011
												IH	1		SHIFTS		506.5	1676.3	3148.8	68.3	238.1	627.7	176.893	176.86	176.96	0.1																495.4	1679.2	508.4	1673.4	525	1639.5	534.3	1624.5	516.5	1637.2	4	517	1642	2763	1.32153	1	shifts	176.8971
												OW	1		GO		493.9	1055.5	2168.7	168.6	594.3	915.6	178.339	178.33	178.41	0.08																495.3	1028.9	489.8	1029	474.3	1061.7	450.8	1117.2	423.2	1194.4	6	509	1034	2382	62.0006	1	go	178.3544
												AY	1		NIGHT		740.5	1448.7	2759.8	71.7	149.1	865.9	178.951	178.919	179.1	0.181																740.5	1449.2	721.2	1514.1	651.8	1667.9	551.2	1787.5	512.6	1919.3	5	732	1432	2314	47.1414	1	night	178.9513
												AO	1		SORTA		463.8	1123.7	2365.4	77.5	237.2	326.7	179.86	179.837	179.907	0.07																418	1222.6	467.2	1111.7	481.8	1121	503.9	1144.7	525.4	1191.4	6	513	1157	2295	54.60031	1	sorta	179.8857
												UH	1		HOOKEY		621.9	1107.3	2906.8	89.3	102.8	310	180.6	180.576	180.647	0.071																628.9	1099.6	620.9	1108	603.8	1113.2	590.5	1131.1	789.3	1498.3	5	626	1096	2901	7.16101	1	hookey	180.5937
												AA	1		LOT		743.2	1313.1	3152.7	107.3	194.2	185.8	181.387	181.357	181.447	0.09																735.5	1255.7	744.4	1317.9	749.4	1377	751.5	1424.6	735.4	1466.9	4	733	1334	2961	5.1417	1	lot	181.4028
												UW	1		DO		482.6	1528.5	2665	49.8	217	381.6	181.944	181.937	182.037	0.1																482.2	1490.5	477.9	1450.9	475.9	1408.4	478	1433.3	479.6	1486.1	5	480	1555	2453	73.0003	1	do	181.9413
