age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												AA	1		ROCHESTER		876	1629.3	3142.3	114.4	159.5	1230	156.491	156.445	156.584	0.139																835.7	1639.6	878.5	1633	860.2	1679.6	822.6	1735.3	758.7	1817.4	4	865	1596	2547	5.16175	1	Rochester	156.5003
												AA	1		SHOPPING		939.9	1727.3	3173.2	108.1	160.4	280.2	164.549	164.502	164.642	0.14																848.4	1782.1	946.8	1723.2	987.8	1666.6	997.7	1621.8	933.6	1574	4	951	1654	3061	5.1115	1	shopping	164.56
												EH	1		FRIEND		815	1818.9	3281.7	205.2	336.2	477.2	168.806	168.786	168.846	0.06																837.1	1847.4	812.7	1814.1	791	1766.2	771	1755.1	751.7	1765.4	4	741	1658	2737	2.44283	1	friend	168.822
												AO	1		LAUREN		658.4	1012.8	2762	103.8	199.1	343.9	169.078	169.035	169.165	0.13																659.7	981.1	659.2	1020.3	670	1077.7	677.2	1175.8	682.1	1260.6	5	659	1001	2795	54.60071	1	Lauren	169.0737
												AH	1		BROTHER		824.5	1619.8	3248	98.4	272.9	279	169.812	169.786	169.865	0.079																834.6	1670.9	822.6	1613.2	808.7	1589.6	787.1	1580.5	734.7	1559.9	4	802	1543	2827	6.33181	1	brother	169.803
												AE	1		HAD		761.4	2084.3	3385.7	79.7	142.7	298.3	170.105	170.085	170.146	0.061																761.9	2095.8	760.7	2081	748	2036.4	716.9	1967.1	674.8	1913.5	4	767	2107	3419	3.142	1	had	170.0968
												AA	1		HOCKEY		1086.6	1715.3	3188.2	198.2	198.9	781.2	170.352	170.325	170.406	0.081																1078.2	1683.6	1088.3	1718.3	1091.5	1750.6	1057.9	1769	1009.9	1786.3	4	1096	1733	3272	5.16101	1	hockey	170.3584
												EH	1		THERE		736.5	1919.5	3199.7	96	91.6	250.2	171.026	170.986	171.106	0.12																734.3	1915.6	736.8	1919.4	738.8	1918.9	738	1923.9	743.4	1936.4	4	728	1898	3355	24.6003	1	there	170.9941
												AO	0		ALREADY		804.6	1655.9	2831.7	68.8	131.3	823.6	171.946	171.929	171.979	0.05																791.1	1648.7	804.6	1655.9	810.8	1658.7	810.1	1662.9	807.1	1670.1	5	815	1661	2688	53.54205	1	already	171.9528
												EH	1		THERE		734.6	2082.4	3130	82.1	175.4	879.4	172.295	172.218	172.449	0.231																726.6	2017.7	735.3	2083	721.7	2034.7	698.1	1932.6	650.7	1830.9	5	728	2078	3221	24.6003	1	there	172.2775
