age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												AY	1		MY		746.3	1544.2	2894.7	81.1	141	553.8	49.534	49.524	49.574	0.05								s								746.3	1544.2	744.2	1602.4	735.8	1643.1	726.8	1619.4	717.2	1621.8	6
												AH	1		MOTHER		693.5	1114	2383.4	120.8	154.3	2556.8	49.711	49.684	49.764	0.08																697	1062.4	692.1	1119	653.9	1164.2	594.6	1190.3	536.9	1209.7	6
												ER	0		MOTHER		574.6	1476.4	2749.9	84	249	565.8	49.831	49.814	49.864	0.05																558	1468.4	574.6	1476.4	591.9	1490.2	601.2	1502.3	599.5	1498.4	6
												AY	1		MY		684.8	1555.9	2884.4	180.4	106	257.1	49.992	49.984	50.043	0.059								s								682	1581	668.1	1637.7	637.3	1683	613.1	1713.2	591.4	1757.2	5
												UW	1		TWO		413.6	1533	2507.2	123.5	588.9	1138.1	50.18	50.173	50.234	0.061																413.6	1533	425.4	1580.1	449.6	1592.5	452.4	1517.6	488	1558.1	6
												IH	1		SISTERS		483.6	1634.1	2535.9	62.3	146.7	281.5	50.364	50.344	50.404	0.06																482.4	1617.8	483.6	1635.4	483	1643.5	492.1	1641.9	511.8	1627.6	6
												AE	1		AND		691.5	1813.5	2573	103.3	203.5	1421.5	51.411	51.384	51.464	0.08																670.1	1869.1	693	1805.6	691.7	1687.3	673.9	1528	660.2	1349.8	6
												OW	1		OH		751.1	1283.3	1595.4	104.9	116.7	2216.2	53.826	53.791	54.111	0.32																743.9	1230.1	731.3	1197.8	715.6	1128.1	715.6	1071.3	731.2	1026.5	6
												AE	1		MAN		550.6	2037.3	2903.7	238.6	382	229	54.298	54.221	54.451	0.23																571	2127.2	547.2	2024.9	644.1	1922.2	639.5	1716.9	667.1	1659.1	5
												EY	1		EIGHTY		430.7	2015.1	2422.9	205	932.8	282.1	57.459	57.446	57.566	0.12																425.9	2104.7	412.2	1723.6	411.1	1589.4	406.5	1230.3	367.9	1179.2	6
												IY	0		EIGHTY		373.2	2383.6	2971.8	241.7	212.1	142.8	57.626	57.596	57.686	0.09																365.2	2337.8	373.5	2385.5	394.5	2357.4	536.7	2298.2	713.4	2268.6	5
												UW	1		TWO		414.8	1901	2747.2	263	362.5	706.7	57.869	57.846	58.086	0.24																399.2	1760.7	394.7	1570	403.5	1363.8	418	1158.7	424.3	1004.9	5
												AE	1		BACK		600.8	1865.9	3047.4	57.8	357.3	1384.4	59.2	59.157	59.287	0.13																589.4	1870.8	601.9	1870.1	609.3	1891.4	623	1868.9	663.8	1854.2	4
												EH	1		THEN		728.5	1754.9	2699.9	96.1	116	375	60.716	60.649	60.849	0.2																723.1	1764.7	729.6	1751.8	743.7	1748.5	731.7	1744.2	687.9	1737.4	5
												EY	1		EIGHTY		479.2	2194.6	2877	256.9	532.9	365.2	61.455	61.442	61.562	0.12																449.2	2204.6	422.9	2334.2	416.1	2381.1	408.8	2386.6	392.8	2269.1	5
												IY	0		EIGHTY		427.4	2249.8	2967.1	455.4	390.3	297.1	61.619	61.592	61.672	0.08																411.2	2252.2	424.8	2247.8	499.8	2205	650.2	2146.7	754.9	1983	5
												UW	1		TWO		397.3	2011.3	2860.3	299	198.8	371.8	61.829	61.802	62.112	0.31																394.7	1927.2	391.4	1742.2	396.5	1555.9	394.6	1319.5	380.9	1383.9	5
												IH	1		TIL		473.6	1782.7	3049.4	131.7	399.7	509	62.262	62.232	62.322	0.09																460.8	1807.7	475.1	1781.7	497.5	1855.4	509.2	1964.8	511.2	1962.3	4
												EY	1		EIGHTY		493.6	2319.1	2990.2	225.4	235	340.4	62.767	62.739	62.879	0.14																493.6	2319.1	432.8	2350.7	435.3	2398.3	439.4	2416.4	427	2390.2	5
												IY	0		EIGHTY		401.5	2352.2	2975.4	205	288.2	188.3	62.946	62.909	63.019	0.11																383	2346.5	405.2	2350.1	451.4	2286.4	411.7	2171.7	357.3	1748.3	5
												AY	1		NINE		789.8	1541	3107	80.5	140.9	292	63.113	63.069	63.279	0.21																789.7	1553.2	786.1	1449	781.2	1543.2	752.2	1706.6	649.8	1909.2	5
												EH	1		THERE		582.9	1702.9	2220.8	191.6	137.7	213.3	66.116	66.043	66.263	0.22																637.6	1721.4	574.3	1700.6	556.1	1667.4	541.4	1647.1	495.5	1650.5	6
												AE	1		BACK		598.7	1989.4	3253.7	66.4	185.7	1078.8	66.939	66.899	67.019	0.12																592.4	1971.4	600.1	1989.4	616.1	1967.4	637.7	2023.4	676.6	2212.3	4
												EH	1		CONNECTICUT		712.3	1724.9	2772.8	79.8	181.3	995.1	67.662	67.639	67.709	0.07																716.6	1738.8	708.7	1721.7	675.8	1713.5	629.7	1700.7	580.8	1668.7	5
												AH	0		CONNECTICUT		498.4	2046.6	2725.5	108.4	168.4	385.3	67.886	67.849	67.959	0.11																466.2	2108.4	500.7	2041	512.8	1944.5	503.9	1822.8	509.2	1727.6	5
												ER	0		FOR		494.9	1276.3	1565.1	66.9	91.4	359.4	68.252	68.129	68.499	0.37																501.3	1267.3	497.6	1278.9	497.9	1311.9	497.9	1335.6	468.5	1430.3	6
												UW	1		TWO		466.8	1271.7	2373.9	622.1	144.7	264.5	69.927	69.913	69.973	0.06																514	1305.7	385.4	1161	369.6	1042.9	385.6	1003.2	393.1	988.5	6
												AO	1		OR		417.6	1015.9	2126.2	83.8	86.4	210.1	69.99	69.973	70.023	0.05																413.4	1001.4	417.6	1015.9	425.1	1058.1	429.5	1105	430.9	1150.3	6
												IY	1		THREE		426.7	2452.2	3910.5	244.7	181.8	1384.7	70.29	70.273	70.323	0.05																422.9	2380	426.7	2452.2	428.1	2542.4	425.1	2595.2	423.6	2609.4	3
												ER	0		YEARS		438.7	1743.5	4173.3	131.9	95.7	533.8	70.449	70.383	70.582	0.199																442.1	1836.3	438	1740.1	438.2	1751.8	441.7	1820.5	440.7	1898.5	3
												AY	1		MY		783	1498	2781.6	44	71.5	444.9	71.431	71.425	71.556	0.131																752.3	1669.3	629.4	1818.2	558.7	1897.4	519.2	1917.7	464.2	1903.2	5
												AA	1		FATHER'S		818.6	1250.8	2507.9	46	132.6	524.3	71.719	71.656	71.846	0.19																717.2	1187.1	826.3	1255.1	837	1266.9	827	1252.1	750.4	1231.4	5
												ER	0		FATHER'S		423.1	1595.7	1788	165	353.6	481.2	71.972	71.906	72.105	0.199																434.7	1582.2	425.6	1587	424	1628.5	415.3	1668.1	407.7	1620.3	6
												AY	1		MY		754.1	1549.9	2515.9	68.9	135.6	265.7	72.619	72.611	72.681	0.07								s								748.3	1598.9	722.3	1670.5	676.1	1717.7	672.3	1709.8	711.4	1639.5	6
												AA	1		GOT		649	1606.3	2506.5	73.3	284.1	625.3	73.008	72.981	73.061	0.08																585	1631.8	654.5	1603	710.7	1559.5	743.3	1552	726.1	1529.5	5
												AE	1		BACK		672.2	1887.3	2256.6	92.6	180.3	804	73.15	73.12	73.21	0.09																654.4	1855.4	672.9	1888	664.3	1871.3	658.1	1823.6	636.4	1741.6	6
												EH	1		TOGETHER		654	1760.6	2877.7	112.2	259.4	759.2	73.421	73.391	73.48	0.089																612.2	1853.1	657.8	1756.2	713	1689.6	739.6	1619.8	715	1540.7	5
												ER	0		TOGETHER		531.5	1587.5	2851.5	99.5	142.3	241.1	73.558	73.541	73.591	0.05																536.9	1575.5	531.5	1587.5	524.2	1610.1	518	1626.4	516.5	1632.8	5
												AA	1		FATHER'S		846.6	1395.6	2889.3	54.6	232.1	598.9	74.401	74.338	74.528	0.19																803.8	1345.7	848.2	1399.6	853.3	1382.9	844.3	1443.8	804.1	1463.7	5
												ER	0		FATHER'S		562.9	1524.3	2328.5	86.3	256.3	354	74.618	74.578	74.698	0.12																566.3	1537.6	565.7	1520.5	571.2	1662.1	549.3	1600.2	556.7	1580.4	6
												AE	1		DAD		649.8	1973	2667.1	128.9	263.4	350.3	76.054	75.994	76.174	0.18																622.5	1898.3	646.1	1976.2	627.6	1920.4	654.5	1916.3	642.9	1871.8	5
												EH	1		THEN		673.2	1531.5	2757.6	140.8	267.4	814.4	77.171	77.154	77.204	0.05																659.1	1550.2	673.2	1531.5	688.1	1483.5	685.4	1437.2	682.6	1388.8	5
												UW	1		MOVED		557.7	1130.6	1961	389	945.1	1095.8	77.424	77.394	77.484	0.09																568.2	1170.8	557.8	1145.8	546.3	1211.9	531.9	1277.3	515.6	1325.6	6
												AE	1		BACK		661.9	1818.5	2536.5	82.7	265	740.9	77.633	77.583	77.734	0.151																637.4	1779.4	667.5	1825.7	694.5	1833	733.5	1805.8	730.5	1775.9	5
												AW	1		OUT		807.4	1589.4	2224.4	65.2	178.7	1927.7	79.434	79.409	79.509	0.1																803.8	1592.2	821	1522.1	821.9	1444.3	816.2	1376.7	800.5	1314.1	6
												AE	1		VALLEY		680.3	2002.3	2677	83.5	252.2	278.9	79.779	79.739	79.859	0.12																647	1938.4	680.3	2001.1	683.7	1964.5	695.2	1854.5	739	1672.9	5
												IY	0		VALLEY		488	1770.6	3396.5	153.8	268.3	720.3	79.959	79.929	80.018	0.089																517.3	1702.5	486.2	1776.9	470.4	1894.7	483.5	1972.6	505	2031.7	4
												EH	1		EVER		622.3	1805.9	2672.5	72.6	206.7	354.1	80.038	80.018	80.079	0.061																612.9	1860.9	622.9	1797.8	625.3	1699.3	620.9	1600.4	607.3	1534.7	5
												ER	0		EVER		463.1	1398.7	2074.2	90.9	233.1	610.2	80.158	80.138	80.199	0.061																459.3	1394.8	462.6	1399.2	459.2	1421.8	499.5	1473.4	585.5	1513	6
												AE	1		BACK		721.4	1865.7	2512	103.4	214.5	608.1	81.171	81.128	81.258	0.13																663.1	1815.5	723.6	1863.1	740.6	1840	753.4	1843.5	751.4	1825.7	5
												AO	1		FORTH		575.5	1064.8	2125	144.5	935.3	823.7	81.558	81.518	81.637	0.119																537.1	1143.3	581	1064.6	601.3	945.1	583.8	962.7	583.2	1029.6	6
												IH	1		DID		511.2	1704.5	2431.6	49	92.2	220	88.758	88.715	88.845	0.13																482.8	1655.2	513.7	1708	542.4	1709.4	569.6	1721.7	564.4	1728.6	5
												AE	1		ACTUALLY		593.1	1806.1	2433.9	67.8	170.3	547.8	88.915	88.875	88.995	0.12																595.2	1767.5	595.1	1805.5	606.9	1792.6	597.8	1735.8	554.9	1672.6	6
												IY	0		ACTUALLY		488.3	2361.9	3893.4	348.8	401.9	1197.2	89.175	89.135	89.255	0.12																472	2291.5	491.6	2362.9	482.8	2360	504.8	2251.8	688.5	2198.7	3
												ER	0		FOR		465.1	1375.3	1734.7	107.8	148.5	1216.6	89.518	89.385	89.785	0.4																455.8	1327	466.3	1375.9	481.8	1415.3	482.1	1387.4	466.5	1367.2	6
												AO	1		FOUR		499.1	867.1	2243.1	52	108	464	90.782	90.755	90.836	0.081																502.5	896.1	499.1	867.8	498.5	893.3	490.9	953.7	478.9	1037.7	6
												ER	0		YEARS		453.5	1635.2	2151.9	56.3	108.2	896.6	91.023	90.976	91.116	0.14																456.9	1653.3	454.1	1636	450	1626.5	444.8	1637.6	457.7	1581.4	5
												AH	1		WAS		579.7	1153.9	2394	49.4	245.4	246.3	91.299	91.256	91.386	0.13																580.1	1149	578.7	1160.7	566.5	1230.7	555.6	1265	497.5	1275.8	6
												EH	1		REMEMBER		722.6	1680.1	2379.3	194.7	126.7	314.9	95.923	95.903	95.963	0.06																705.2	1699.8	722.4	1676.4	708.9	1634.6	663.9	1599.9	614.6	1580.8	6
