age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												AA	1		MOM		1026.9	1743.8	3284.5	505.1	137.2	367.6	87.868	87.815	87.975	0.16																1036.2	1724.6	1022	1745.4	996.7	1759.8	912.3	1743.6	829.3	1672	4
												AH	0		WAS		516.2	1257.7	2694.8	128.8	375	1273.6	88.121	88.104	88.155	0.051																530.6	1214.4	513.2	1270	503.8	1339.3	487.2	1381.3	470.7	1439.8	5
												AO	1		BORN		668.2	967.1	2642.9	119.6	175.4	544.2	88.368	88.315	88.474	0.159																604.2	937.6	672.3	972.9	675	1020.3	668.9	1132.9	662.1	1297	6
												IH	1		IN		617.3	2110.2	3281.1	88.8	204.4	235.1	88.645	88.625	88.684	0.059																642.5	2097.9	614.3	2111.8	598.4	2114.6	591.4	2102.9	595.6	2098.2	5
												UW	1		NEW		582	1420.1	2439.9	139.7	232.1	237.3	88.772	88.765	88.825	0.06																582	1420.1	557.7	1267.7	534.3	1160.5	511	1097.2	456.8	1084.6	6
												AA	1		HARTFORD		789.4	1637.2	2037.4	90.4	198.5	2037.8	88.972	88.945	89.025	0.08																832	1601.2	786.4	1641.1	758.4	1688.2	733.5	1592.1	700.5	1518.8	6
												ER	0		HARTFORD		618.1	1636.4	2073.5	45.8	119.6	121.5	89.228	89.184	89.315	0.131																614	1557.5	617.9	1641.3	609.6	1679	603.2	1695.3	600.6	1694.8	5
												AE	1		AND		725.1	2085.5	3193.5	116.8	141.1	386.2	90.005	89.988	90.038	0.05																737.1	2092.8	725.1	2085.5	713.1	2036.5	689.7	1957	664	1875.8	5
												AY	1		MY		817.9	2106.8	3363.6	275.1	170.2	531	90.13	90.118	90.198	0.08								s								808.9	2142.3	759.3	2185.3	688.2	2210.7	624.7	2219.3	563.1	2192.2	4
												AE	1		DAD		600.8	2304.7	3364.2	47.1	120.2	398.7	90.318	90.278	90.398	0.12																563.4	2348.7	605	2298.5	671.3	2242.6	733.4	2134.4	757.5	1997.5	4
												AH	0		WAS		581.2	1460.1	3483.9	106	233	181.6	90.465	90.448	90.498	0.05																588.2	1470.5	579.5	1456.7	567.9	1431.2	562.6	1408.8	556.4	1404.4	4
												AO	1		BORN		593.4	1014.4	2459.8	76.6	148.7	211.5	90.658	90.628	90.717	0.089																585.8	1020.3	596	1019.9	634.6	1108.9	657.8	1172.7	676.2	1251.5	5
												AH	0		IN		591.8	1941.6	3387.9	70.1	484.8	336	90.898	90.878	90.937	0.059																585.7	1867.6	592.6	1952	595.8	2031.4	593.7	2063.1	586.1	2114.1	4
												AY	1		MY		945.8	1855.1	2902.3	256.1	153.3	364.8	94.7	94.689	94.779	0.09																913.8	1943.8	810.7	2078.1	686.2	2155.4	599	2146	516.7	2030.7	5
												AE	1		DAD		655.1	2266	3352.7	83.5	168.5	276	94.882	94.829	94.989	0.16																628.2	2331	659.3	2249.6	719.1	2057.3	732.4	1864.7	677	1669.6	4
												AH	0		WAS		602.4	1432.1	3266.9	110.4	100.4	475.3	95.056	95.039	95.089	0.05																603.8	1427.1	602.4	1432.1	594.2	1440.1	583.4	1453.7	572.2	1475.6	5
												ER	0		MARINES		567.8	1707	1940.3	70.1	84	1502.9	95.488	95.468	95.529	0.061																569.1	1682.3	567.3	1710.6	561.5	1719.2	558.6	1736	560.6	1774.8	6
												IY	1		MARINES		555.2	2269	2463.1	57.4	120.1	1050.2	95.569	95.529	95.649	0.12																561.7	2127.8	555.5	2287.7	573.7	2139.4	569.7	2408.7	558	2711.4	5
												AY	1		MY		1095.1	1739.5	3186	223.6	137.8	420.3	101.957	101.916	102.356	0.44																1056.5	1793	793.8	2079.6	684.4	2415.6	563.7	2591.1	475.9	2696.2	4
